model_id,question_id,sentence_index,score,source,status,error
gpt-5.5,p046,1,18,v5.6_extension,complete,
gpt-5.5,p046,2,14,v5.6_extension,complete,
gpt-5.5,p046,3,12,v5.6_extension,complete,
gpt-5.5,p046,4,10,v5.6_extension,complete,
gpt-5.5,p046,5,9,v5.6_extension,complete,
gpt-5.5,p052,0,12,v5.6_extension,complete,
gpt-5.5,p052,1,15,v5.6_extension,complete,
gpt-5.5,p052,2,18,v5.6_extension,complete,
gpt-5.5,p052,3,16,v5.6_extension,complete,
gpt-5.5,p052,4,10,v5.6_extension,complete,
gpt-5.5,p052,5,11,v5.6_extension,complete,
gpt-5.5,p054,0,12,v5.6_extension,complete,
gpt-5.5,p054,1,18,v5.6_extension,complete,
gpt-5.5,p054,2,14,v5.6_extension,complete,
gpt-5.5,p054,3,15,v5.6_extension,complete,
gpt-5.5,p054,4,11,v5.6_extension,complete,
gpt-5.5,p054,5,13,v5.6_extension,complete,
gpt-5.5,p056,0,12,v5.6_extension,complete,
gpt-5.5,p056,1,22,v5.6_extension,complete,
gpt-5.5,p056,2,20,v5.6_extension,complete,
gpt-5.5,p056,3,24,v5.6_extension,complete,
gpt-5.5,p056,4,18,v5.6_extension,complete,
gpt-5.5,p056,5,21,v5.6_extension,complete,
gpt-5.5,p060,0,12,v5.6_extension,complete,
gpt-5.5,p060,1,15,v5.6_extension,complete,
gpt-5.5,p060,2,14,v5.6_extension,complete,
gpt-5.5,p060,3,11,v5.6_extension,complete,
gpt-5.5,p060,4,16,v5.6_extension,complete,
gpt-5.5,p060,5,13,v5.6_extension,complete,
gpt-5.5,p065,0,12,v5.6_extension,complete,
gpt-5.5,p065,1,10,v5.6_extension,complete,
gpt-5.5,p065,2,11,v5.6_extension,complete,
gpt-5.5,p065,3,13,v5.6_extension,complete,
gpt-5.5,p065,4,14,v5.6_extension,complete,
gpt-5.5,p065,5,9,v5.6_extension,complete,
gpt-5.5,p066,0,8,v5.6_extension,complete,
gpt-5.5,p066,1,10,v5.6_extension,complete,
gpt-5.5,p066,2,12,v5.6_extension,complete,
gpt-5.5,p066,3,9,v5.6_extension,complete,
gpt-5.5,p066,4,10,v5.6_extension,complete,
gpt-5.5,p066,5,8,v5.6_extension,complete,
gpt-5.5,p068,0,18,v5.6_extension,complete,
gpt-5.5,p068,1,20,v5.6_extension,complete,
gpt-5.5,p068,2,24,v5.6_extension,complete,
gpt-5.5,p068,3,17,v5.6_extension,complete,
gpt-5.5,p068,4,26,v5.6_extension,complete,
gpt-5.5,p068,5,28,v5.6_extension,complete,
gpt-5.5,p070,0,12,baseline_replay,complete,
gpt-5.5,p070,1,18,baseline_replay,complete,
gpt-5.5,p070,2,20,baseline_replay,complete,
gpt-5.5,p070,3,16,baseline_replay,complete,
gpt-5.5,p070,4,22,baseline_replay,complete,
gpt-5.5,p070,5,18,baseline_replay,complete,
gpt-5.5,p070,6,8,baseline_replay,complete,
gpt-5.5,p071,0,18,v5.6_extension,complete,
gpt-5.5,p071,1,24,v5.6_extension,complete,
gpt-5.5,p071,2,22,v5.6_extension,complete,
gpt-5.5,p071,3,20,v5.6_extension,complete,
gpt-5.5,p071,4,23,v5.6_extension,complete,
gpt-5.5,p071,5,19,v5.6_extension,complete,
gpt-5.5,p071,6,17,v5.6_extension,complete,
gpt-5.5,p072,0,12,v5.6_extension,complete,
gpt-5.5,p072,1,15,v5.6_extension,complete,
gpt-5.5,p072,2,10,v5.6_extension,complete,
gpt-5.5,p072,3,13,v5.6_extension,complete,
gpt-5.5,p072,4,11,v5.6_extension,complete,
gpt-5.5,p072,5,7,v5.6_extension,complete,
gpt-5.5,p073,0,18,v5.6_extension,complete,
gpt-5.5,p073,1,22,v5.6_extension,complete,
gpt-5.5,p073,2,16,v5.6_extension,complete,
gpt-5.5,p073,3,19,v5.6_extension,complete,
gpt-5.5,p073,4,17,v5.6_extension,complete,
gpt-5.5,p073,5,14,v5.6_extension,complete,
gpt-5.5,p077,0,12,v5.6_extension,complete,
gpt-5.5,p077,1,18,v5.6_extension,complete,
gpt-5.5,p077,2,15,v5.6_extension,complete,
gpt-5.5,p077,3,22,v5.6_extension,complete,
gpt-5.5,p077,4,20,v5.6_extension,complete,
gpt-5.5,p077,5,19,v5.6_extension,complete,
gpt-5.5,p081,0,12,v5.6_extension,complete,
gpt-5.5,p081,1,18,v5.6_extension,complete,
gpt-5.5,p081,2,14,v5.6_extension,complete,
gpt-5.5,p081,3,13,v5.6_extension,complete,
gpt-5.5,p081,4,17,v5.6_extension,complete,
gpt-5.5,p081,5,13,v5.6_extension,complete,
gpt-5.5,p082,0,12,v5.6_extension,complete,
gpt-5.5,p082,1,34,v5.6_extension,complete,
gpt-5.5,p082,2,18,v5.6_extension,complete,
gpt-5.5,p082,3,22,v5.6_extension,complete,
gpt-5.5,p082,4,18,v5.6_extension,complete,
gpt-5.5,p082,5,20,v5.6_extension,complete,
gpt-5.5,p084,0,12,v5.6_extension,complete,
gpt-5.5,p084,1,28,v5.6_extension,complete,
gpt-5.5,p084,2,24,v5.6_extension,complete,
gpt-5.5,p084,3,18,v5.6_extension,complete,
gpt-5.5,p084,4,22,v5.6_extension,complete,
gpt-5.5,p084,5,16,v5.6_extension,complete,
gpt-5.5,p086,0,12,v5.6_extension,complete,
gpt-5.5,p086,1,10,v5.6_extension,complete,
gpt-5.5,p086,2,14,v5.6_extension,complete,
gpt-5.5,p086,3,13,v5.6_extension,complete,
gpt-5.5,p086,4,11,v5.6_extension,complete,
gpt-5.5,p086,5,9,v5.6_extension,complete,
gpt-5.5,p092,0,12,v5.6_extension,complete,
gpt-5.5,p092,1,24,v5.6_extension,complete,
gpt-5.5,p092,2,16,v5.6_extension,complete,
gpt-5.5,p092,3,18,v5.6_extension,complete,
gpt-5.5,p092,4,10,v5.6_extension,complete,
gpt-5.5,p092,5,14,v5.6_extension,complete,
gpt-5.5,p095,0,8,v5.6_extension,complete,
gpt-5.5,p095,1,10,v5.6_extension,complete,
gpt-5.5,p095,2,9,v5.6_extension,complete,
gpt-5.5,p095,3,11,v5.6_extension,complete,
gpt-5.5,p095,4,9,v5.6_extension,complete,
gpt-5.5,p095,5,9,v5.6_extension,complete,
gpt-5.5,p096,0,6,v5.6_extension,complete,
gpt-5.5,p096,1,8,v5.6_extension,complete,
gpt-5.5,p096,2,10,v5.6_extension,complete,
gpt-5.5,p096,3,8,v5.6_extension,complete,
gpt-5.5,p096,4,7,v5.6_extension,complete,
gpt-5.5,p096,5,6,v5.6_extension,complete,
gpt-5.5,p099,0,12,v5.6_extension,complete,
gpt-5.5,p099,1,14,v5.6_extension,complete,
gpt-5.5,p099,2,16,v5.6_extension,complete,
gpt-5.5,p099,3,15,v5.6_extension,complete,
gpt-5.5,p099,4,13,v5.6_extension,complete,
gpt-5.5,p099,5,10,v5.6_extension,complete,
gpt-5.5,p099,6,9,v5.6_extension,complete,
gpt-5.5,ru01,0,15,v5.6_extension,complete,
gpt-5.5,ru01,1,12,v5.6_extension,complete,
gpt-5.5,ru01,2,10,v5.6_extension,complete,
gpt-5.5,ru01,3,18,v5.6_extension,complete,
gpt-5.5,ru01,4,20,v5.6_extension,complete,
gpt-5.5,ru01,5,18,v5.6_extension,complete,
gpt-5.5,ru02,0,28,v5.6_extension,complete,
gpt-5.5,ru02,1,30,v5.6_extension,complete,
gpt-5.5,ru02,2,32,v5.6_extension,complete,
gpt-5.5,ru02,3,29,v5.6_extension,complete,
gpt-5.5,ru02,4,31,v5.6_extension,complete,
gpt-5.5,ru02,5,30,v5.6_extension,complete,
gpt-5.5,ru03,0,12,v5.6_extension,complete,
gpt-5.5,ru03,1,15,v5.6_extension,complete,
gpt-5.5,ru03,2,14,v5.6_extension,complete,
gpt-5.5,ru03,3,13,v5.6_extension,complete,
gpt-5.5,ru03,4,13,v5.6_extension,complete,
gpt-5.5,ru03,5,13,v5.6_extension,complete,
gpt-5.5,ru03,6,10,v5.6_extension,complete,
gpt-5.5,ru04,0,18,v5.6_extension,complete,
gpt-5.5,ru04,1,22,v5.6_extension,complete,
gpt-5.5,ru04,2,28,v5.6_extension,complete,
gpt-5.5,ru04,3,24,v5.6_extension,complete,
gpt-5.5,ru04,4,20,v5.6_extension,complete,
gpt-5.5,ru04,5,23,v5.6_extension,complete,
gpt-5.5,ru05,0,10,v5.6_extension,complete,
gpt-5.5,ru05,1,15,v5.6_extension,complete,
gpt-5.5,ru05,2,18,v5.6_extension,complete,
gpt-5.5,ru05,3,16,v5.6_extension,complete,
gpt-5.5,ru05,4,20,v5.6_extension,complete,
gpt-5.5,ru05,5,12,v5.6_extension,complete,
gpt-5.5,ru05,6,18,v5.6_extension,complete,
gpt-5.5,ru06,0,12,v5.6_extension,complete,
gpt-5.5,ru06,1,10,v5.6_extension,complete,
gpt-5.5,ru06,2,11,v5.6_extension,complete,
gpt-5.5,ru06,3,12,v5.6_extension,complete,
gpt-5.5,ru06,4,13,v5.6_extension,complete,
gpt-5.5,ru06,5,14,v5.6_extension,complete,
gpt-5.5,ru07,0,12,v5.6_extension,complete,
gpt-5.5,ru07,1,18,v5.6_extension,complete,
gpt-5.5,ru07,2,15,v5.6_extension,complete,
gpt-5.5,ru07,3,16,v5.6_extension,complete,
gpt-5.5,ru07,4,15,v5.6_extension,complete,
gpt-5.5,ru07,5,17,v5.6_extension,complete,
gpt-5.5,ru07,6,14,v5.6_extension,complete,
gpt-5.5,ru08,0,28,v5.6_extension,complete,
gpt-5.5,ru08,1,18,v5.6_extension,complete,
gpt-5.5,ru08,2,22,v5.6_extension,complete,
gpt-5.5,ru08,3,24,v5.6_extension,complete,
gpt-5.5,ru08,4,25,v5.6_extension,complete,
gpt-5.5,ru08,5,23,v5.6_extension,complete,
gpt-5.5,ru09,0,32,v5.6_extension,complete,
gpt-5.5,ru09,1,35,v5.6_extension,complete,
gpt-5.5,ru09,2,38,v5.6_extension,complete,
gpt-5.5,ru09,3,34,v5.6_extension,complete,
gpt-5.5,ru09,4,30,v5.6_extension,complete,
gpt-5.5,ru09,5,33,v5.6_extension,complete,
gpt-5.5,ru10,0,8,v5.6_extension,complete,
gpt-5.5,ru10,1,10,v5.6_extension,complete,
gpt-5.5,ru10,2,12,v5.6_extension,complete,
gpt-5.5,ru10,3,14,v5.6_extension,complete,
gpt-5.5,ru10,4,9,v5.6_extension,complete,
gpt-5.5,ru10,5,10,v5.6_extension,complete,
gpt-5.5,ru10,6,8,v5.6_extension,complete,
